learnable	type	translation	authoritative	is_regex
beure			1	0
tisores			1	0
queixeu			1	0
talla			1	0
milloro			1	0
rebutjo			1	0
milloren			1	0
talles			1	0
rebutgem			1	0
costa			1	0
queixa			1	0
millores			1	0
queixem			1	0
costen			1	0
rebutja			1	0
emportem			1	0
equivoqueu			1	0
ens			1	0
traduïu			1	0
atura			1	0
tradueix			1	0
m'			1	0
us			1	0
es			1	0
equivoco			1	0
em			1	0
s'			1	0
dutxem			1	0
emporta			1	0
continua			1	0
entenen			1	0
continueu			1	0
consideres			1	0
enteneu			1	0
venceu			1	0
vivim			1	0
responeu			1	0
responc			1	0
estàs			1	0
vences			1	0
considero			1	0
vencen			1	0
esteu			1	0
viu			1	0
hi ha			1	0
rentem			1	0
repeteix			1	0
salva			1	0
dubten			1	0
-li			1	0
-los			1	0
-nos			1	0
finalment			1	0
-els			1	0
demà			1	0
evitar			1	0
mantenir			1	0
tornar			1	0
realitzar			1	0
obrir			1	0
acabar			1	0
canviar			1	0
viure			1	0
entrar			1	0
guanyar			1	0
pensar			1	0
tancar			1	0
esperar			1	0
portar			1	0
conèixer			1	0
-el			1	0
-en			1	0
us			1	0
els			1	0
conduir			1	0
venir			1	0
començar			1	0
deixar			1	0
-lo			1	0
quatre			1	0
fora			1	0
dimecres			1	0
enlloc			1	0
dilluns			1	0
tant de			1	0
got			1	0
ràpidament			1	0
posar			1	0
caure			1	0
presentar			1	0
escriure			1	0
col·locar			1	0
mestressa de casa			1	0
tercer			1	0
plat			1	0
primer			1	0
mil			1	0
deu			1	0
setanta			1	0
quaranta			1	0
meitat			1	0
noranta			1	0
onze			1	0
seixanta			1	0
vint			1	0
tona			1	0
segon			1	0
trenta			1	0
vuitanta			1	0
doble			1	0
quinze			1	0
número			1	0
tretze			1	0
cinquanta			1	0
cent			1	0
catorze			1	0
-ne			1	0
qualsevulla			1	0
qualsevol			1	0
-los			1	0
oest			1	0
l'alguer			1	0
distàncies			1	0
carretera			1	0
bars			1	0
pàtries			1	0
oficina			1	0
tampoc			1	0
gaires			1	0
gens de			1	0
ni			1	0
perfectament			1	0
fàcilment			1	0
definitivament			1	0
en general			1	0
bastant			1	0
relativament			1	0
principalment			1	0
normalment			1	0
massa			1	0
documents			1	0
molt de			1	0
diumenge			1	0
porta			1	0
comences			1	0
cadira			1	0
feina			1	0
afaitadora			1	0
televisió			1	0
bany			1	0
cullera			1	0
escriptori			1	0
raspall			1	0
dormitori			1	0
dijous			1	0
paella			1	0
divendres			1	0
dimarts			1	0
dates			1	0
al davant			1	0
a dins			1	0
a sota			1	0
pels			1	0
fins al			1	0
encara que			1	0
tot i que			1	0
paret			1	0
forn			1	0
escala			1	0
simplement			1	0
valència			1	0
humanitat			1	0
possiblement			1	0
llavors			1	0
des de			1	0
turisme			1	0
miler			1	0
aproximadament			1	0
pel·lícula			1	0
milió			1	0
metre			1	0
lluny			1	0
majoria			1	0
quilòmetre			1	0
parell			1	0
set			1	0
vuit			1	0
cinc			1	0
dos			1	0
clar			1	0
especialment			1	0
prou			1	0
