learnable	normalized	partOfSpeech	source
après avoir	apres avoir		Duolingo
après être	apres etre		Duolingo
après leur	apres leur		Duolingo
après lui	apres lui		Duolingo
après m'	apres m'		Duolingo
après nous	apres nous		Duolingo
après qu'	apres qu'		Duolingo
après que	apres que		Duolingo
après s'être	apres s'etre		Duolingo
après t'	apres t'		Duolingo
après vous	apres vous		Duolingo
après-	apres-		Duolingo
après-demain	apres-demain		Duolingo
après-midi	apres-midi		Duolingo
après-midis	apres-midis		Duolingo
araignée	araignee	noun	Duolingo
araignées	araignees	noun	Duolingo
arbre	arbre	noun	Duolingo
arbres	arbres	noun	Duolingo
architecture	architecture	noun	Duolingo
argent	argent		Duolingo
argent	argent	noun	Duolingo
argument	argument	noun	Duolingo
arguments	arguments	noun	Duolingo
arme	arme	noun	Duolingo
armée	armee	noun	Duolingo
armes	armes	noun	Duolingo
armoire	armoire	noun	Duolingo
arobase	arobase	noun	Duolingo
arrête	arrete	verb	Duolingo
arrêter	arreter	verb	Duolingo
arrêtés	arretes	verb	Duolingo
arrêtez	arretez	verb	Duolingo
arrière-	arriere-		Duolingo
arrivant	arrivant	verb	Duolingo
arrivé	arrive	verb	Duolingo
arrivée	arrivee	noun	Duolingo
arrivent	arrivent	verb	Duolingo
arriver	arriver		Duolingo
arriver	arriver	verb	Duolingo
arrivera	arrivera	verb	Duolingo
arrives	arrives	verb	Duolingo
arrivons	arrivons	verb	Duolingo
arrondissement	arrondissement	noun	Duolingo
arrondissements	arrondissements	noun	Duolingo
art	art	noun	Duolingo
article	article	noun	Duolingo
articles	articles	noun	Duolingo
artiste	artiste	noun	Duolingo
artistes	artistes	noun	Duolingo
arts	arts	noun	Duolingo
as	as	verb	Duolingo
as besoin	as besoin		Duolingo
as l'air	as l'air		Duolingo
as-tu	as-tu		Duolingo
ascenseur	ascenseur	noun	Duolingo
asie	asie	proper noun	Duolingo
assemblée	assemblee	noun	Duolingo
asseoir	asseoir	verb	Duolingo
asseyez-vous	asseyez-vous		Duolingo
assez	assez		Duolingo
assez	assez	adverb	Duolingo
assez de	assez de		Duolingo
assieds-toi	assieds-toi		Duolingo
assiéraient	assieraient	verb	Duolingo
assiérait	assierait	verb	Duolingo
assiette	assiette	noun	Duolingo
assiettes	assiettes	noun	Duolingo
association	association	noun	Duolingo
associations	associations	noun	Duolingo
athlétisme	athletisme	noun	Duolingo
atlantique	atlantique	proper noun	Duolingo
atmosphère	atmosphere	noun	Duolingo
atteindre	atteindre	verb	Duolingo
attend	attend		Duolingo
attend	attend	verb	Duolingo
attendant	attendant	verb	Duolingo
attendent	attendent		Duolingo
attendent	attendent	verb	Duolingo
attendez	attendez		Duolingo
attendez	attendez	verb	Duolingo
attendons	attendons		Duolingo
attendons	attendons	verb	Duolingo
attendra	attendra	verb	Duolingo
attendrai	attendrai	verb	Duolingo
attendras	attendras	verb	Duolingo
attendre	attendre		Duolingo
attendre	attendre	verb	Duolingo
attendrez	attendrez	verb	Duolingo
attendrons	attendrons	verb	Duolingo
attendront	attendront	verb	Duolingo
attends	attends		Duolingo
attends	attends	verb	Duolingo
attendu	attendu	verb	Duolingo
attention	attention	noun	Duolingo
attrape	attrape	verb	Duolingo
attraper	attraper	verb	Duolingo
au	au		Duolingo
au	au	preposition	Duolingo
au bout de	au bout de		Duolingo
au cas où	au cas ou		Duolingo
au chômage	au chomage		Duolingo
au coin de la rue	au coin de la rue		Duolingo
au courant	au courant		Duolingo
au début	au debut		Duolingo
au fait	au fait		Duolingo
au fond	au fond		Duolingo
au foyer	au foyer		Duolingo
au lieu	au lieu		Duolingo
au lieu de	au lieu de		Duolingo
au milieu de	au milieu de		Duolingo
au milieu de nulle part	au milieu de nulle part		Duolingo
au moins	au moins		Duolingo
au moins	au moins	adverb	Duolingo
au petit déjeuner	au petit dejeuner		Duolingo
au plat	au plat		Duolingo
au revoir	au revoir		Duolingo
au secours	au secours		Duolingo
au téléphone	au telephone		Duolingo
au-delà	au-dela		Duolingo
au-delà	au-dela	preposition	Duolingo
au-delà de	au-dela de		Duolingo
au-dessous	au-dessous		Duolingo
au-dessus	au-dessus		Duolingo
au-dessus	au-dessus	adverb	Duolingo
au-dessus de	au-dessus de		Duolingo
aucun	aucun		Duolingo
aucun	aucun	determiner	Duolingo
aucun	aucun	pronoun	Duolingo
aucune	aucune		Duolingo
aucune	aucune	determiner	Duolingo
aucune	aucune	pronoun	Duolingo
augmentation	augmentation	noun	Duolingo
aujourd'hui	aujourd'hui		Duolingo
aujourd'hui	aujourd'hui	adverb	Duolingo
auprès	aupres	preposition	Duolingo
auprès de	aupres de		Duolingo
auquel	auquel		Duolingo
aura	aura	verb	Duolingo
aurai	aurai	verb	Duolingo
auraient	auraient		Duolingo
auraient	auraient	verb	Duolingo
aurais	aurais	verb	Duolingo
aurait	aurait		Duolingo
aurait	aurait	verb	Duolingo
auras	auras	noun	Duolingo
auras	auras	verb	Duolingo
aurez	aurez	verb	Duolingo
auriez	auriez		Duolingo
auriez	auriez	verb	Duolingo
aurions	aurions		Duolingo
aurions	aurions	verb	Duolingo
aurons	aurons	verb	Duolingo
auront	auront	verb	Duolingo
aussi	aussi		Duolingo
aussi	aussi	adverb	Duolingo
aussitôt	aussitot	adverb	Duolingo
australie	australie	proper noun	Duolingo
autant	autant		Duolingo
autant	autant	adverb	Duolingo
autant de	autant de		Duolingo
autant que	autant que		Duolingo
auteur	auteur	noun	Duolingo
automatiquement	automatiquement	adverb	Duolingo
automne	automne	noun	Duolingo
autour	autour	adverb	Duolingo
